epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0341,2.12979,1.82146,1.93447,0.71987,0.5028,0.58196,0.28956,1.77549,1.53039,1.44864,0.000659649,0.000659649,0.000659649
2,27.2216,1.78713,1.554,1.63795,0.89978,0.44203,0.5578,0.24858,1.73395,1.55119,1.46273,0.00130005,0.00130005,0.00130005
3,39.0386,1.66393,1.47882,1.52731,0.8913,0.56522,0.65354,0.31114,1.84388,1.27414,1.4717,0.00191406,0.00191406,0.00191406
4,51.1554,1.67679,1.35821,1.52587,0.86677,0.52899,0.62497,0.32014,1.71062,1.31171,1.43999,0.0018812,0.0018812,0.0018812
5,63.1273,1.60884,1.26273,1.47206,0.83345,0.58021,0.66283,0.32711,1.72119,1.25029,1.41948,0.0018416,0.0018416,0.0018416
6,74.887,1.55929,1.25508,1.43984,0.8358,0.51642,0.66019,0.29722,1.76798,1.24084,1.48156,0.001802,0.001802,0.001802
7,86.433,1.57079,1.23512,1.44881,0.80466,0.63768,0.71011,0.34154,1.7773,1.20325,1.44913,0.0017624,0.0017624,0.0017624
8,98.2469,1.51155,1.19127,1.39225,0.76525,0.5942,0.66525,0.33475,1.73424,1.53218,1.43027,0.0017228,0.0017228,0.0017228
9,110.019,1.45308,1.09237,1.3778,0.84974,0.6087,0.68716,0.30875,1.84143,1.15792,1.49013,0.0016832,0.0016832,0.0016832
10,121.719,1.49635,1.08439,1.39112,0.82282,0.61594,0.69747,0.32876,1.82762,1.1642,1.4776,0.0016436,0.0016436,0.0016436
11,133.749,1.44461,1.06488,1.36126,0.9077,0.54348,0.69115,0.33204,1.82322,1.21043,1.47542,0.001604,0.001604,0.001604
12,145.612,1.38302,0.99955,1.32924,0.79181,0.60635,0.68182,0.31998,1.76411,1.21559,1.47425,0.0015644,0.0015644,0.0015644
13,157.811,1.3813,1.01665,1.33241,0.88668,0.5942,0.6866,0.32131,1.67381,1.19845,1.47701,0.0015248,0.0015248,0.0015248
14,169.673,1.32716,1.00248,1.29443,0.89142,0.57971,0.69155,0.3508,1.68181,1.25826,1.4376,0.0014852,0.0014852,0.0014852
15,181.608,1.35656,0.99155,1.29537,0.904,0.54594,0.68877,0.35783,1.62384,1.09035,1.40292,0.0014456,0.0014456,0.0014456
16,193.86,1.31462,0.93014,1.2748,0.86234,0.58696,0.67618,0.31971,1.77832,1.15056,1.51241,0.001406,0.001406,0.001406
17,206.134,1.29227,0.91895,1.27448,0.86017,0.5942,0.66769,0.34441,1.64765,1.13154,1.38162,0.0013664,0.0013664,0.0013664
18,217.837,1.26324,0.89303,1.22863,0.82919,0.59805,0.67216,0.34312,1.72067,1.05024,1.428,0.0013268,0.0013268,0.0013268
19,230.597,1.23441,0.85798,1.21785,0.8382,0.60145,0.67834,0.3455,1.60617,1.32526,1.37352,0.0012872,0.0012872,0.0012872
20,242.529,1.22765,0.85082,1.21481,0.95153,0.56907,0.682,0.33496,1.73817,1.0513,1.47959,0.0012476,0.0012476,0.0012476
21,254.646,1.19154,0.86296,1.2129,0.8456,0.61594,0.69246,0.33767,1.67101,1.25425,1.43891,0.001208,0.001208,0.001208
22,266.599,1.19159,0.82824,1.19234,0.86808,0.60145,0.7222,0.33743,1.66129,1.096,1.44076,0.0011684,0.0011684,0.0011684
23,276.871,1.18592,0.79881,1.1796,0.92025,0.57246,0.68726,0.34704,1.70585,1.03339,1.4471,0.0011288,0.0011288,0.0011288
24,287.5,1.13898,0.75983,1.16943,0.70399,0.65942,0.6679,0.34692,1.72082,1.20787,1.40535,0.0010892,0.0010892,0.0010892
25,299.132,1.14,0.76596,1.18212,0.74525,0.65217,0.6779,0.33518,1.62976,1.09637,1.39235,0.0010496,0.0010496,0.0010496
26,311.029,1.1345,0.79209,1.15848,0.89582,0.5942,0.69762,0.34167,1.70583,1.05616,1.41293,0.00101,0.00101,0.00101
27,322.946,1.08675,0.76328,1.13136,0.81627,0.57246,0.67318,0.33802,1.63656,1.14224,1.45727,0.0009704,0.0009704,0.0009704
